name	psnr_uc
aerial_mud_1	7.5938
brown_mud_03	11.1550
chinese_hackberry_bark	8.1829
aerial_beach_02	7.7722
crepe_georgette	6.4420
concrete_wall_006	8.5511
forrest_ground_03	6.3585
concrete_floor_02	6.1807
large_square_pattern_01	4.4904
mixed_rock_tiles	8.2624
grey_plaster_03	8.8046
granular_concrete	7.5256
rock_embedded_floor	8.1882
rock_wall_11	4.6692
random_bricks_thick	8.8565
patterned_brick_floor	7.4074
terrain_red_01	15.7578
wood_trunk_wall	5.7445
stacked_stone_wall	10.8935
rocks_ground_08	7.7595
